dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,region,obj,opcode_sim
0x0800ed0c,2,matrix_init_user,0x0800cdbc,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed0e,8,matrix_init_kb,0x0800cdbe,8,2.20,match; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed16,2,matrix_scan_user,0x0800cdc6,2,1.90,HOOK-DEFAULT: matrix_scan_user (2 B default); match; entry=bl; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed18,8,matrix_scan_kb,0x0800cdc8,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,matrix_common.o,1.000
0x0800ed20,12,matrix_get_row,0x0800cdd0,12,1.90,match; entry=bl; callgraph 3/3; opsim=1.00,,matrix_common.o,1.000
0x0800ed2c,2,matrix_print,0x0800cddc,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed2e,8,matrix_io_delay,0x0800cdde,8,2.20,match; entry=bl; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed36,26,matrix_output_select_delay,0x0800cde6,26,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed50,8,matrix_output_unselect_delay,0x0800ce00,8,2.20,match; callgraph 1/1; opsim=1.00,,matrix_common.o,1.000
0x0800ed58,36,setPinInputHigh_atomic,0x0800ce08,34,2.03,match; entry=bl; callgraph 3/3; opsim=0.96,,matrix.o,0.960
0x0800ed7c,60,matrix_init_pins,0x0800ce2c,60,5.20,match; entry=bl; callgraph 2/2; opsim=1.00,,matrix.o,1.000
0x0800edb8,160,matrix_read_rows_on_col,0x0800ce68,156,5.12,match; entry=bl; callgraph 4/4; opsim=0.88,,matrix.o,0.882
0x0800ee58,52,matrix_init,0x0800cf04,48,1.97,match; entry=bl; callgraph 4/4; opsim=0.80,,matrix.o,0.800
0x0800ee8c,108,matrix_scan,0x0800cf34,104,2.09,match; entry=bl; callgraph 6/6; opsim=0.90,,matrix.o,0.902
0x0800eef8,36,debounce_init,0x0800cf9c,52,0.78,match; entry=bl; callgraph 1/2; opsim=0.42,,sym_eager_pk.o,0.424
0x0800ef1c,20,debounce_free,0x0800cfd0,20,2.20,match; entry=bl; callgraph 1/2; opsim=1.00,,sym_eager_pk.o,1.000
0x0800ef30,304,debounce,0x0800cfe4,308,2.16,match; entry=bl; callgraph 2/2; opsim=0.85,,sym_eager_pk.o,0.853
0x0800f060,18,protocol_init,0x0800d118,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,main.o,1.000
0x0800f072,18,protocol_task,0x0800d12a,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,main.o,1.000
0x0800f084,28,main,0x0800d13c,28,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,main.o,1.000
0x0800f0a0,30,eeprom_read_byte,0x0800d158,28,2.00,match; entry=bl; callgraph 2/2; opsim=0.90,,eeprom_driver.o,0.900
0x0800f0be,30,eeprom_read_word,0x0800d174,28,2.00,match; entry=bl; callgraph 3/3; opsim=0.90,,eeprom_driver.o,0.900
0x0800f0dc,26,eeprom_read_dword,0x0800d190,24,1.97,match; entry=bl; callgraph 2/2; opsim=0.90,,eeprom_driver.o,0.900
0x0800f0f6,24,eeprom_write_byte,0x0800d1a8,22,1.95,match; callgraph 1/1; opsim=0.88,,eeprom_driver.o,0.875
0x0800f10e,24,eeprom_write_word,0x0800d1be,22,1.95,match; callgraph 1/1; opsim=0.88,,eeprom_driver.o,0.875
0x0800f126,22,eeprom_write_dword,0x0800d1d4,20,1.93,match; callgraph 1/1; opsim=0.88,,eeprom_driver.o,0.875
0x0800f13c,52,eeprom_update_block,0x0800d1e8,52,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,eeprom_driver.o,1.000
0x0800f170,28,eeprom_update_byte,0x0800d21c,28,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,eeprom_driver.o,1.000
0x0800f18c,28,eeprom_update_word,0x0800d238,28,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,eeprom_driver.o,1.000
0x0800f1a8,28,eeprom_update_dword,0x0800d254,28,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,eeprom_driver.o,1.000
0x0800f1c4,4,eeprom_driver_init,0x0800d270,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,eeprom_wear_leveling.o,1.000
0x0800f1c8,4,eeprom_driver_erase,0x0800d274,4,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,eeprom_wear_leveling.o,1.000
0x0800f1cc,10,eeprom_read_block,0x0800d278,10,1.90,match; entry=bl; callgraph 6/6; opsim=1.00,,eeprom_wear_leveling.o,1.000
0x0800f1d6,10,eeprom_write_block,0x0800d282,10,1.90,match; entry=bl; callgraph 4/4; opsim=1.00,,eeprom_wear_leveling.o,1.000
0x0800f1e0,32,wear_leveling_clear_cache,0x0800d28c,32,2.80,match; entry=bl; callgraph 2/2; opsim=0.80,,wear_leveling.o,0.800
0x0800f200,32,wear_leveling_unlock,0x0800d2ac,32,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,wear_leveling.o,1.000
0x0800f220,36,wear_leveling_lock,0x0800d2cc,36,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,wear_leveling.o,1.000
0x0800f244,52,wear_leveling_erase,0x0800d2f0,50,2.08,match; callgraph 4/4; opsim=0.97,,wear_leveling.o,0.974
0x0800f278,36,wear_leveling_read,0x0800d324,36,2.00,match; callgraph 0/1; opsim=0.79,,wear_leveling.o,0.786
