start,size,kind,fn_starts,suggested_names,callers,callees
0x0800DC28,222,code,,,,0x0800DCD0->0x0800D69A
0x0800DD84,88,code,,0x0800DD84=jellybean_raindrops_set_color.isra.0,0x0800DD84<-JELLYBEAN_RAINDROPS@0x0800E7BC(bl~) 0x0800DD84<-JELLYBEAN_RAINDROPS@0x0800E7BC(bl~),0x0800DD94->0x0800D6E4 0x0800DD9C->0x0800D6E4 0x0800DDB4->rgb_matrix_hsv_to_rgb 0x0800DDCA->rgb_matrix_set_color
0x0800DF54,266,code,,0x0800DF54=process_rgb_matrix,0x0800DF54<-keyboard_task@0x0800C678(bl~),0x0800DF60->is_keyboard_master 0x0800DF7A->rgb_matrix_map_row_column_to_led 0x0800DF96->memcpy 0x0800DFA6->memcpy 0x0800DFB8->memcpy 0x0800DFC8->memcpy 0x0800E00A->0x0800DC28
0x0800E072,262,code,,0x0800E072=rgb_matrix_get_limits,0x0800E072<-JELLYBEAN_RAINDROPS@0x0800E7BC(bl~),0x0800E0AC->0x0800E072 0x0800E112->0x0800D69A 0x0800E152->rgb_matrix_hsv_to_rgb 0x0800E162->rgb_matrix_set_color
0x0800E19C,184,code,,,,0x0800E1AA->0x0800E072 0x0800E22C->rgb_matrix_hsv_to_rgb 0x0800E23C->rgb_matrix_set_color
0x0800E26C,152,code,,,,0x0800E27A->0x0800E072 0x0800E2DE->rgb_matrix_hsv_to_rgb 0x0800E2EE->rgb_matrix_set_color
0x0800E334,204,code,,,,0x0800E34A->0x0800E072 0x0800E36C->0x0800D708 0x0800E37A->0x0800D708 0x0800E3DC->rgb_matrix_hsv_to_rgb 0x0800E3EC->rgb_matrix_set_color
0x0800E418,224,code,,,,0x0800E42C->0x0800E072 0x0800E4B0->rgb_matrix_hsv_to_rgb 0x0800E4C0->rgb_matrix_set_color
0x0800E504,312,code,,,,0x0800E510->0x0800E072 0x0800E55E->memcpy 0x0800E586->rgb_matrix_hsv_to_rgb 0x0800E596->rgb_matrix_set_color 0x0800E5CC->0x0800D69A
0x0800E694,296,code,0x0800E708,,,0x0800E69C->0x0800E072 0x0800E6B4->rgb_matrix_hsv_to_rgb 0x0800E6F8->rgb_matrix_set_color 0x0800E714->0x0800E072 0x0800E726->memcpy 0x0800E73E->0x0800D708 0x0800E764->rgb_matrix_hsv_to_rgb 0x0800E7A6->rgb_matrix_set_color
